id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice,log_saleprice
2752,906380150,20,RL,64.0,7488,Pave,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,2,Y,4,1208,0,0,1208,0,0,2,0,2,1,3,6,7,0,0,Attchd,2,2,632.0,3,3,2,105,58,0,0,0,0,0,2,2006,WD ,183600,12.120514757168527
807,906226060,70,RL,120.0,26400,Pave,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,4,1288,728,0,2016,0,0,1,0,4,1,2,7,4,1,3,Attchd,1,2,576.0,3,3,1,0,0,0,0,0,0,0,6,2009,WD ,131000,11.782952602183288
1177,533236070,160,FV,24.0,2645,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,2,Y,4,962,645,0,1607,1,0,2,1,3,1,3,7,7,0,0,Detchd,1,2,480.0,3,3,2,169,0,0,0,0,0,0,12,2008,ConLD,200000,12.206072645530174
1480,907418040,20,RL,74.0,9627,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,2,Y,4,1361,0,0,1361,0,0,2,0,3,1,3,6,7,0,0,Attchd,2,2,610.0,3,3,2,0,50,0,0,0,0,0,6,2008,WD ,193000,12.170445467887022
324,923202105,20,RL,93.0,10114,Pave,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,2,Y,4,1430,0,0,1430,0,0,2,0,3,1,3,7,7,0,0,Attchd,2,2,624.0,3,3,2,0,0,0,0,0,0,0,3,2010,WD ,173500,12.063932878369052
1311,902301140,70,RM,34.0,4571,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,N,4,624,720,0,1344,0,0,1,0,4,1,2,7,7,0,0,Detchd,1,3,513.0,2,2,2,0,0,96,0,0,0,0,5,2008,COD,98000,11.49272275765271
770,905101490,20,RL,80.0,8816,Pave,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,2,Y,4,1121,0,0,1121,1,0,1,0,3,1,2,5,7,0,0,Detchd,1,2,480.0,3,3,2,0,80,0,0,0,0,0,6,2009,WD ,139000,11.842229212112828
2063,905107140,20,RL,71.0,8197,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,2,Y,4,1285,0,0,1285,0,0,1,1,3,1,2,7,7,1,3,Attchd,2,2,528.0,3,3,2,138,0,0,0,0,0,0,4,2007,WD ,143500,11.874090314181814
69,528458070,60,FV,72.0,8640,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,2,Y,4,764,783,0,1547,0,0,2,1,3,1,3,7,7,0,0,Attchd,1,2,614.0,3,3,2,169,45,0,0,0,0,0,6,2010,Con,215200,12.279323107269766
2062,905106150,20,RL,109.0,8724,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,2,Y,4,894,0,0,894,0,0,1,0,3,1,2,5,7,1,1,Attchd,3,2,450.0,3,3,2,0,0,0,0,0,0,0,5,2007,WD ,129000,11.76756768334381
351,527131030,120,RL,40.0,5664,Pave,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,2,Y,4,1659,0,0,1659,1,0,2,0,2,1,4,5,7,1,5,Attchd,3,2,499.0,3,3,2,212,59,0,0,0,0,0,10,2009,WD ,278000,12.535376392672774
2393,528142010,60,RL,103.0,12867,Pave,2,Lvl,3,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,2,Y,4,1209,1044,0,2253,0,0,2,1,3,1,4,8,7,1,4,Attchd,3,2,575.0,3,3,2,243,142,0,0,0,0,0,7,2006,New,344133,12.748783489541202
12,527165230,20,RL,60.0,7980,Pave,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,3,Y,4,1187,0,0,1187,1,0,2,0,3,1,2,6,7,0,0,Attchd,3,2,420.0,3,3,2,483,21,0,0,0,0,500,3,2010,WD ,185000,12.128111104060462
2339,527250040,190,RL,100.0,34650,Pave,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,2,N,4,1056,0,0,1056,1,0,1,0,3,1,2,5,7,0,0,Attchd,3,2,572.0,3,3,2,264,0,0,0,0,0,0,1,2006,WD ,145000,11.884489021402711
624,535104120,20,RL,92.0,10573,Pave,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,2,2,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,2,Y,4,1453,0,0,1453,1,0,2,0,3,1,2,6,7,1,3,Attchd,2,2,530.0,3,3,2,0,49,0,0,288,0,0,4,2009,WD ,187500,12.141534124392603
86,532376160,20,RL,65.0,8450,Pave,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,3,Y,4,894,0,0,894,1,0,1,0,3,1,2,5,7,1,4,Detchd,1,1,336.0,3,3,2,416,144,0,0,0,0,0,4,2010,WD ,138500,11.83862560460953
1534,909277040,50,RL,60.0,11700,Pave,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,2,Y,4,1265,673,0,1938,0,0,2,0,4,1,3,7,5,1,4,Detchd,1,1,240.0,3,3,2,0,40,0,0,0,0,0,7,2008,WD ,198000,12.196022309676673
2243,911103060,190,C (all),75.0,8250,Pave,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,3,N,4,1034,957,0,1991,0,0,2,0,4,2,2,9,7,0,0,NA,0,0,0.0,0,0,0,0,0,133,0,0,0,0,6,2007,WD ,119600,11.691908120498669
1957,535450190,50,RL,60.0,8064,Pave,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,3,Y,4,672,252,0,924,0,0,1,0,3,1,2,6,7,1,1,Detchd,1,2,576.0,3,3,2,0,0,0,0,0,0,2000,7,2007,WD ,122900,11.719126295554126
380,527355150,20,RL,80.0,9600,Pave,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,3,2,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,2,Y,4,2524,0,0,2524,1,0,2,1,4,1,3,9,7,1,4,Attchd,3,2,542.0,3,3,2,474,120,0,0,0,0,0,7,2009,WD ,278000,12.535376392672774
2860,909276010,70,RL,60.0,11435,Pave,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,Y,4,792,725,0,1517,0,0,1,0,3,1,3,7,7,2,4,Detchd,1,2,400.0,3,3,2,0,0,0,0,0,0,0,6,2006,WD ,230000,12.345834587905333
2517,533250130,120,RL,30.0,9549,Pave,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,3,Y,4,1494,0,0,1494,1,0,1,1,2,1,4,6,7,1,4,Attchd,3,2,481.0,3,3,2,0,30,0,0,216,0,0,4,2006,WD ,270000,12.506177237980511
1933,535302070,20,RL,60.0,10950,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,2,Y,4,948,0,0,948,0,0,1,0,2,1,2,5,7,0,0,Detchd,1,2,410.0,3,3,0,0,48,0,0,0,0,0,4,2007,WD ,125000,11.736069016284437
820,906340110,20,RL,79.0,10637,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,3,2,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,2,Y,4,1718,0,0,1718,1,0,2,0,3,1,3,7,7,1,4,Attchd,2,3,826.0,3,3,2,208,44,0,0,0,0,0,9,2009,WD ,297000,12.601487417784837
675,535426150,20,RL,80.0,9000,Pave,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,2,2,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,Y,4,1142,0,0,1142,0,0,1,0,2,1,2,5,7,1,4,Basment,2,1,384.0,3,3,2,0,28,64,0,0,0,0,4,2009,WD ,113500,11.639558115903595
2910,923225240,160,RM,41.0,2665,Pave,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,2,Y,4,925,550,0,1475,0,0,2,0,4,1,2,6,7,1,3,Attchd,2,1,336.0,3,3,2,104,26,0,0,0,0,0,7,2006,WD ,127000,11.751942365440728
21,527358140,20,RL,105.0,11751,Pave,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,2,2,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,2,Y,4,1844,0,0,1844,0,0,2,0,3,1,2,7,7,1,3,Attchd,2,2,546.0,3,3,2,0,122,0,0,0,0,0,1,2010,COD,190000,12.154779351142624
1873,534177210,20,RL,80.0,9600,Pave,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,2,2,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,Y,4,1242,0,0,1242,0,0,1,1,3,1,2,6,7,1,3,Attchd,1,2,528.0,3,3,2,0,0,0,0,0,0,0,9,2007,WD ,175500,12.075394321888057
2125,907135050,20,RL,60.0,8428,Pave,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,3,Y,4,990,0,0,990,1,0,1,0,3,1,2,5,7,0,0,Detchd,1,1,384.0,3,3,2,256,0,0,0,0,0,0,7,2007,WD ,146000,11.891361900690473
1489,908102260,20,RL,75.0,9937,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,2,Y,4,1256,0,0,1256,1,0,1,1,3,1,2,6,7,0,0,Attchd,3,1,276.0,3,3,2,736,68,0,0,0,0,0,6,2008,WD ,147500,11.901583454762012
2383,528110050,20,RL,107.0,13891,Pave,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,2,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,2,Y,4,2076,0,0,2076,1,0,2,1,2,1,4,7,7,1,4,Attchd,3,3,850.0,3,3,2,216,229,0,0,0,0,0,9,2006,New,465000,13.049792684569493
983,923275040,85,RL,60.0,9101,Pave,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,2,3,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,GasA,3,Y,4,1110,0,0,1110,1,0,1,0,1,1,3,4,7,1,3,Attchd,3,2,602.0,3,3,2,303,30,0,0,0,0,0,7,2009,WD ,165500,12.016726473799254
1325,902406090,50,RM,81.0,12150,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,GasA,2,N,2,1050,745,0,1795,0,0,2,0,4,1,2,7,7,0,0,Attchd,1,1,352.0,2,3,2,0,0,0,0,0,0,0,11,2008,WD ,131500,11.786762130599957
1378,905102170,20,RL,70.0,11200,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,2,Y,4,1040,0,0,1040,1,0,1,0,3,1,2,5,7,0,0,Detchd,1,1,384.0,3,3,2,0,0,0,0,0,0,0,2,2008,WD ,129500,11.771436160121729
1537,909281110,70,RL,100.0,9670,Pave,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,2,2,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,GasA,2,Y,4,983,890,0,1873,0,0,1,1,4,1,2,9,7,2,4,Detchd,3,2,786.0,2,3,2,0,0,207,0,0,0,0,6,2008,WD ,257076,12.45712704000522
905,909101140,50,RL,60.0,10998,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,GasA,2,Y,4,984,620,0,1604,0,0,2,0,3,1,2,6,5,0,0,Detchd,1,2,660.0,3,3,2,0,68,0,0,0,0,0,7,2009,WD ,117000,11.669929213779893
1532,909275050,70,RL,60.0,7200,Pave,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,2,1,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,GasA,1,Y,4,851,651,0,1502,0,0,1,1,3,1,2,6,7,1,4,Attchd,2,1,270.0,3,3,1,0,0,112,0,0,0,0,2,2008,WD ,149000,11.911701584927597
132,534475100,20,RL,80.0,9920,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,2,2,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,GasA,2,Y,4,1063,0,0,1063,1,0,1,0,3,1,2,6,7,0,0,Attchd,2,1,280.0,3,3,2,0,0,164,0,0,0,0,2,2010,WD ,128000,11.759785542901755
1078,528188090,160,RL,36.0,2448,Pave,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,3,2,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,GasA,2,Y,4,764,862,0,1626,0,0,2,1,2,1,3,6,7,0,0,BuiltIn,2,2,474.0,3,3,2,0,27,0,0,0,0,0,10,2008,WD ,155000,11.951180395901384
2511,533221080,160,FV,60.0,2998,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,3,2,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,GasA,2,Y,4,768,756,0,1524,0,0,2,1,2,1,3,4,7,0,0,Detchd,1,2,440.0,3,3,2,0,32,0,0,0,0,0,6,2006,WD ,166000,12.01974306733868
912,909250220,50,RL,65.0,7804,Pave,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,2,2,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,GasA,2,Y,4,1328,653,0,1981,1,0,2,0,4,1,3,7,5,2,3,Detchd,1,2,576.0,3,3,2,431,44,0,0,0,0,0,12,2009,WD ,135000,11.813030057420567
2351,527356020,60,RL,80.0,16692,Pave,2,Lvl,3,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,2,2,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,GasA,2,Y,4,1392,1392,0,2784,1,0,3,1,5,1,3,12,7,2,3,Attchd,2,2,564.0,3,3,2,0,112,0,0,440,519,2000,7,2006,WD ,250000,12.429216196844383
330,923226250,160,RM,21.0,1476,Pave,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,CBlock,3,3,1,6,176.0,1,0.0,370.0,546.0,GasA,2,Y,4,546,546,0,1092,0,0,1,1,3,1,2,5,7,0,0,NA,0,0,0.0,0,0,2,200,26,0,0,0,0,0,3,2010,WD ,76000,11.238488619268468
2586,535305120,20,RL,75.0,10170,Pave,3,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,216.0,216.0,GasA,2,Y,4,1575,0,0,1575,0,0,1,1,2,1,3,5,7,1,4,Attchd,1,2,400.0,3,3,2,0,0,0,0,0,0,0,6,2006,WD ,155000,11.951180395901384
224,905106140,60,RL,80.0,9364,Pave,3,Lvl,3,Corner,2,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,2,2,CBlock,3,3,1,5,371.0,1,0.0,292.0,663.0,GasA,2,Y,4,663,689,0,1352,0,0,1,1,4,1,2,7,7,0,0,Attchd,3,1,299.0,3,3,2,379,36,0,0,0,0,0,3,2010,WD ,158000,11.970350312009105
