id,pid,saleprice,log_saleprice,neighborhood,overall_qual,ms_zoning,ms_subclass_60_house_style_2Story,lot_area,lot_shape,lot_frontage,paved_drive,gr_liv_area,totrms_abvgrd,kitchen_qual,fireplaces,fireplace_qu,abv_grd_sf,total_bath,below_grd_sf,overall_bsmt_score,exter_qual,total_outdoor_area,garage_cars,overall_garage_score,foundation_PConc,garage_type_Attchd,garage_type_Detchd,roof_style_Hip,exterior_1st_VinylSd,mas_vnr_type_None,age,electrical,sale_type_New
1044,527451290,85400,11.35510137977666,1,6,2,0,1680,3,21.0,2,987,4,2,0,0,987,2,870.0,9,2,496.0,1,7,0,0,1,0,0,0,37,4,0
2752,906380150,183600,12.120514757168529,3,7,3,0,7488,2,64.0,2,1208,6,3,0,0,1208,2,1601.0,13,3,795.0,2,8,1,1,0,0,1,1,1,4,0
807,906226060,131000,11.782952602183288,2,5,3,0,26400,3,120.0,1,2016,7,2,1,3,2016,1,0.0,0,3,576.0,2,7,1,1,0,0,0,1,2,4,0
1177,533236070,200000,12.206072645530174,4,8,4,0,2645,3,24.0,2,1607,7,3,0,0,1607,4,1773.0,11,3,1105.0,2,7,1,0,1,0,0,0,8,4,0
1480,907418040,193000,12.170445467887022,3,7,3,0,9627,3,74.0,2,1361,6,3,0,0,1361,2,1375.0,13,3,660.0,2,8,1,1,0,0,1,1,1,4,0
324,923202105,173500,12.063932878369052,2,5,3,0,10114,3,93.0,2,1430,7,3,0,0,1430,2,1430.0,9,2,624.0,2,8,1,1,0,0,1,1,5,4,0
1311,902301140,98000,11.49272275765271,1,5,2,0,4571,3,34.0,2,1344,7,2,0,0,1344,1,624.0,5,2,609.0,3,5,0,0,1,0,0,1,58,4,0
770,905101490,139000,11.842229212112828,2,5,3,0,8816,3,80.0,2,1121,5,2,0,0,1121,2,1772.0,7,2,560.0,2,7,1,0,1,0,1,1,46,4,0
2063,905107140,143500,11.874090314181814,2,6,3,0,8197,3,71.0,2,1285,7,2,1,3,1285,2,660.0,5,2,814.0,2,8,0,1,0,0,0,0,30,4,0
69,528458070,215200,12.279323107269766,4,7,4,1,8640,3,72.0,2,1547,7,3,0,0,1547,3,780.0,12,2,828.0,2,7,1,1,0,0,1,1,1,4,0
2062,905106150,129000,11.76756768334381,2,5,3,0,8724,3,109.0,2,894,5,2,1,1,894,1,1386.0,9,2,450.0,2,9,0,1,0,0,1,1,39,4,0
351,527131030,278000,12.535376392672774,4,8,3,0,5664,2,40.0,2,1659,5,4,1,5,1659,3,2659.0,11,3,770.0,2,9,1,1,0,0,0,1,9,4,0
2393,528142010,344133,12.748783489541202,4,8,3,1,12867,2,103.0,2,2253,8,4,1,4,2253,3,1209.0,9,3,960.0,2,9,1,1,0,0,0,1,0,4,1
12,527165230,185000,12.128111104060462,3,6,3,0,7980,2,60.0,2,1187,6,2,0,0,1187,3,2103.0,10,2,924.0,2,9,1,1,0,0,0,1,3,4,0
2339,527250040,145000,11.884489021402713,3,5,3,0,34650,3,100.0,2,1056,5,2,0,0,1056,2,2112.0,8,2,836.0,2,9,0,1,0,1,0,1,51,4,0
624,535104120,187500,12.141534124392605,2,6,3,0,10573,2,92.0,2,1453,6,2,1,3,1453,3,2765.0,7,2,870.0,2,8,0,1,0,1,0,0,48,4,0
86,532376160,138500,11.83862560460953,2,5,3,0,8450,3,65.0,2,894,5,2,1,4,894,2,1447.0,10,2,896.0,1,7,0,0,1,0,0,1,1,4,0
1534,909277040,198000,12.196022309676671,3,5,3,0,11700,2,60.0,2,1938,7,3,1,4,1938,2,1548.0,8,2,280.0,1,7,0,0,1,0,0,1,13,4,0
2243,911103060,119600,11.691908120498669,1,5,7,0,8250,3,75.0,0,1991,9,2,0,0,1991,2,957.0,5,2,133.0,0,0,0,0,0,0,1,1,1,4,0
1957,535450190,122900,11.719126295554126,2,5,3,0,8064,3,60.0,2,924,6,2,1,1,924,1,672.0,6,2,576.0,2,7,0,0,1,0,0,1,1,4,0
380,527355150,278000,12.535376392672774,3,8,3,0,9600,3,80.0,2,2524,9,3,1,4,2524,4,3628.0,10,3,1136.0,2,9,1,1,0,1,0,1,28,4,0
2860,909276010,230000,12.345834587905332,3,8,3,0,11435,2,60.0,2,1517,7,3,2,4,1517,1,792.0,6,2,400.0,2,7,1,0,1,0,0,1,56,4,0
2517,533250130,270000,12.506177237980513,4,8,3,0,9549,2,30.0,2,1494,6,4,1,4,1494,3,1931.0,9,3,727.0,2,9,1,1,0,1,0,1,10,4,0
1933,535302070,125000,11.736069016284436,2,6,3,0,10950,3,60.0,0,948,5,2,0,0,948,1,1389.0,9,2,458.0,2,7,0,0,1,1,0,1,55,4,0
820,906340110,297000,12.601487417784837,3,8,3,0,10637,3,79.0,2,1718,7,3,1,4,1718,3,2993.0,15,3,1414.0,3,8,1,1,0,1,1,0,1,4,0
675,535426150,113500,11.639558115903595,2,6,3,0,9000,2,80.0,2,1142,5,2,1,4,1142,1,160.0,9,2,558.0,1,8,0,0,0,0,0,0,51,4,0
2910,923225240,127000,11.751942365440728,1,5,2,0,2665,3,41.0,2,1475,6,2,1,3,1475,2,1305.0,9,2,466.0,1,8,1,1,0,0,0,1,29,4,0
21,527358140,190000,12.154779351142624,3,6,3,0,11751,2,105.0,2,1844,7,2,1,3,1844,2,2549.0,9,2,1148.0,2,8,0,1,0,1,0,0,33,4,0
1873,534177210,175500,12.075394321888057,3,7,3,0,9600,3,80.0,2,1242,6,2,1,3,1242,2,2158.0,9,2,848.0,2,7,0,1,0,1,0,0,34,4,0
2125,907135050,146000,11.891361900690471,3,5,3,0,8428,1,60.0,2,990,5,2,0,0,990,2,1410.0,11,2,640.0,1,7,1,0,1,0,1,1,13,4,0
1489,908102260,147500,11.901583454762012,1,5,3,0,9937,3,75.0,2,1256,6,2,0,0,1256,3,2086.0,8,3,1080.0,1,9,0,1,0,0,0,1,43,4,0
2383,528110050,465000,13.049792684569493,4,10,3,0,13891,3,107.0,2,2076,7,4,1,4,2076,4,3462.0,15,4,1295.0,3,9,1,1,0,0,1,1,0,4,1
983,923275040,165500,12.016726473799254,2,5,3,0,9101,2,60.0,2,1110,4,3,1,3,1110,2,2194.0,13,2,1039.0,2,9,1,1,0,0,0,0,31,4,0
1325,902406090,131500,11.786762130599955,1,5,2,0,12150,3,81.0,2,1795,7,2,0,0,1795,2,1050.0,5,2,687.0,1,6,0,1,0,0,0,0,54,2,0
1378,905102170,129500,11.771436160121729,2,5,3,0,11200,3,70.0,2,1040,5,2,0,0,1040,2,1946.0,7,2,384.0,1,7,0,0,1,1,0,1,43,4,0
1537,909281110,257076,12.45712704000522,3,8,3,0,9670,2,100.0,2,1873,9,2,2,4,1873,2,818.0,6,2,1033.0,2,8,1,0,1,0,0,0,58,4,0
905,909101140,117000,11.669929213779891,1,5,3,0,10998,3,60.0,2,1604,6,2,0,0,1604,2,1392.0,6,2,728.0,2,7,0,0,1,0,0,1,49,4,0
1532,909275050,149000,11.911701584927595,3,7,3,0,7200,3,60.0,1,1502,6,2,1,4,1502,2,776.0,6,2,382.0,1,8,0,1,0,0,0,1,8,4,0
132,534475100,128000,11.759785542901756,2,5,3,0,9920,3,80.0,2,1063,6,2,0,0,1063,2,1410.0,7,2,554.0,1,8,0,1,0,0,0,0,56,4,0
1078,528188090,155000,11.951180395901384,4,7,3,0,2448,3,36.0,2,1626,6,3,0,0,1626,3,764.0,6,3,607.0,2,8,1,0,0,0,1,0,4,4,0
2511,533221080,166000,12.01974306733868,4,6,4,0,2998,3,60.0,2,1524,4,3,0,0,1524,3,1109.0,11,3,985.0,2,7,1,0,1,0,0,0,6,4,0
912,909250220,135000,11.813030057420567,1,4,3,0,7804,3,65.0,2,1981,7,3,2,3,1981,3,1744.0,8,2,1051.0,2,7,0,0,1,0,0,1,59,4,0
2351,527356020,250000,12.429216196844385,3,7,3,1,16692,2,80.0,2,2784,12,3,2,3,2784,5,2182.0,9,2,1300.0,2,8,0,1,0,0,0,0,28,4,0
330,923226250,76000,11.238488619268468,1,4,2,0,1476,3,21.0,2,1092,5,2,0,0,1092,2,722.0,10,2,226.0,0,0,0,0,0,0,0,1,40,4,0
2586,535305120,155000,11.951180395901384,2,6,3,0,10170,3,75.0,2,1575,5,3,1,4,1575,2,216.0,5,2,922.0,2,7,0,1,0,1,0,0,55,4,0
224,905106140,158000,11.970350312009105,2,6,3,1,9364,3,80.0,2,1352,7,2,0,0,1352,2,1034.0,9,2,857.0,1,9,0,1,0,0,0,0,41,4,0
98,533212020,149500,11.915051671812876,4,7,4,0,2544,3,24.0,2,1200,4,3,0,0,1200,4,968.0,11,3,652.0,2,8,1,0,1,0,0,1,5,4,0
2565,534479300,121000,11.703545824578878,2,5,3,0,9888,3,82.0,2,936,5,2,0,0,936,1,1422.0,8,2,400.0,1,7,0,1,0,0,0,1,31,3,0
1934,535304170,136000,11.820410164718188,2,6,3,0,7942,3,68.0,2,1040,6,2,0,0,1040,2,1125.0,7,2,293.0,1,9,0,1,0,1,0,1,54,2,0
997,527107010,173000,12.061046873479915,3,6,3,1,15038,1,60.0,2,1636,7,2,1,3,1636,3,1054.0,8,2,638.0,2,9,1,1,0,0,0,1,12,4,0
64,528382020,290000,12.577636201962656,4,8,3,1,11764,2,92.0,2,2270,9,3,1,4,2270,3,1676.0,11,3,1208.0,3,9,1,1,0,0,1,0,3,4,0
1799,528458130,303477,12.62306110407298,4,8,4,1,9000,3,75.0,2,2610,11,4,1,4,2610,3,1248.0,13,3,1122.0,2,9,1,0,0,0,0,1,0,4,1
230,905109170,270000,12.506177237980513,3,7,3,0,20062,2,60.0,2,1483,4,2,2,3,1483,3,2512.0,13,3,1186.0,2,8,0,1,0,1,0,1,9,4,0
1295,902109160,122250,11.713823407337118,1,5,2,0,7308,3,81.0,0,1740,6,4,1,4,1740,1,1296.0,7,1,461.0,1,5,0,0,1,0,0,1,58,3,0
638,535178120,153000,11.938193200374572,2,5,3,0,8750,3,70.0,2,1382,6,3,0,0,1382,2,1554.0,7,2,630.0,1,7,0,1,0,0,0,1,54,3,0
2278,923202134,147000,11.898187865760873,2,5,3,0,8402,3,70.0,2,1120,6,2,0,0,1120,1,1326.0,10,2,30.0,0,0,1,0,0,0,1,1,0,4,1
2202,909252150,148500,11.908340237224891,3,7,3,0,4000,3,63.0,2,1098,5,2,1,4,1098,2,777.0,11,2,216.0,1,7,0,0,1,0,0,1,12,4,0
2833,908188150,130000,11.77528972943772,1,7,2,0,3363,3,32.0,2,1708,7,3,0,0,1708,2,976.0,6,3,537.0,2,7,1,0,1,0,1,0,2,4,0
1707,528150040,372000,12.826649133255284,4,9,3,0,13615,2,94.0,2,1802,7,4,1,4,1802,3,1802.0,10,4,1616.0,3,9,1,1,0,1,0,0,1,4,0
2428,528228565,213490,12.27134527214637,3,7,3,0,3013,3,43.0,2,1506,6,3,1,4,1506,2,1378.0,14,3,747.0,2,9,1,1,0,0,1,0,1,4,0
242,905453080,308030,12.637952459809789,1,7,3,0,17485,1,44.0,2,1508,5,3,2,3,1508,2,2854.0,14,3,668.0,2,8,1,1,0,0,1,0,0,4,0
1564,914453045,300000,12.611537753638338,2,7,3,0,23730,1,60.0,2,2032,7,3,0,0,2032,4,2540.0,13,3,1692.0,3,9,1,1,0,0,0,0,11,4,0
2613,535403150,159500,11.979799201207037,2,6,3,0,8910,3,79.0,2,1194,6,2,1,2,1194,2,1310.0,10,2,731.0,2,9,0,0,0,1,0,1,47,4,0
2832,908188140,137500,11.831379196088765,1,7,2,0,2522,3,24.0,2,1709,7,3,0,0,1709,2,970.0,6,3,470.0,2,7,1,0,1,0,1,0,2,4,0
2459,528439030,232000,12.354492650648448,4,7,3,0,8688,3,73.0,2,1616,7,3,0,0,1616,2,1616.0,8,3,1329.0,3,8,1,1,0,0,1,0,1,4,0
1360,903452025,93850,11.449453042014657,1,6,2,0,6291,2,60.0,0,768,4,2,0,0,768,1,768.0,5,3,524.0,2,7,0,0,1,0,0,1,58,4,0
2723,905200380,105000,11.56171562913966,2,5,3,0,17529,3,60.0,0,872,5,1,1,4,872,1,872.0,5,2,503.0,1,5,0,0,1,0,0,0,56,2,0
1350,903235100,68500,11.134589024250316,1,4,2,0,6324,2,60.0,2,520,4,1,0,0,520,1,520.0,5,2,376.0,1,6,0,0,1,0,0,1,58,4,0
136,535106190,154300,11.946654038351252,2,5,3,0,11600,3,80.0,2,2274,12,2,0,0,2274,2,1548.0,7,2,841.0,2,7,0,0,1,0,0,0,50,3,0
2235,910201050,129850,11.774135217090894,1,5,2,0,7288,3,50.0,0,1601,6,2,0,0,1601,2,936.0,5,3,176.0,0,0,0,0,0,0,1,1,4,4,0
1993,902301130,114000,11.643953727376632,1,5,2,0,4571,3,35.0,2,1232,6,2,0,0,1232,1,784.0,8,2,903.0,2,5,0,0,1,0,0,1,57,4,0
367,527214050,501837,13.1260306447518,4,9,3,0,17423,2,63.0,2,2234,9,4,1,4,2234,3,4120.0,12,4,1974.0,3,9,1,1,0,1,1,0,0,4,1
1309,902300215,153900,11.94405831982697,1,5,2,0,12665,2,100.0,2,1416,7,2,1,4,1416,2,876.0,6,2,1332.0,3,7,0,0,1,0,0,1,58,4,0
402,527425110,130000,11.77528972943772,2,4,3,0,9000,3,60.0,2,864,5,2,0,0,864,1,1104.0,9,2,776.0,2,7,0,0,1,0,1,1,3,4,0
1592,923203140,160500,11.986049221552207,2,6,2,0,4500,3,32.0,2,1189,4,2,0,0,1189,3,2053.0,12,2,711.0,2,8,1,1,0,1,1,0,11,4,0
2409,528186110,310090,12.644617856906528,4,9,3,0,6373,3,48.0,2,1666,6,3,1,4,1666,3,2081.0,12,4,1450.0,2,8,1,1,0,1,0,0,0,4,1
539,531371050,184900,12.127570417375216,2,7,3,0,10083,3,67.0,2,1200,5,3,0,0,1200,3,2009.0,11,3,596.0,2,8,1,1,0,0,1,1,6,4,0
1940,535327200,132000,11.790557201568507,2,5,3,0,13300,3,70.0,2,928,4,2,0,0,928,1,1305.0,8,2,669.0,1,7,0,1,0,1,0,1,7,4,0
588,534129370,163000,12.0015054797889,3,5,3,0,9600,3,80.0,2,1336,6,2,1,2,1336,3,1841.0,11,2,953.0,2,8,0,1,0,0,0,0,40,4,0
96,533210060,155000,11.951180395901384,4,7,4,0,3215,3,30.0,2,1200,4,3,0,0,1200,3,880.0,13,3,772.0,2,8,1,0,1,0,0,0,6,4,0
1187,534127210,183000,12.117241431823558,3,6,3,0,11104,2,60.0,2,1427,7,2,0,0,1427,3,2255.0,12,2,732.0,2,8,0,1,0,0,0,1,39,4,0
2154,907280090,211000,12.259613412458204,3,7,3,1,15295,0,60.0,2,1992,7,3,2,3,1992,4,1622.0,12,3,1119.0,2,8,1,1,0,0,1,0,5,4,0
550,531452260,184000,12.122691036591124,2,7,3,1,9109,3,70.0,2,1540,6,3,0,0,1540,4,790.0,7,3,667.0,2,8,1,1,0,0,1,1,15,4,0
811,906226100,118858,11.685684782260491,2,5,3,0,7018,3,64.0,2,1535,8,2,0,0,1535,2,0.0,0,2,400.0,2,7,0,1,0,0,0,1,30,4,0
124,534403410,180500,12.103486056755072,2,5,3,0,14112,2,60.0,2,1152,6,2,1,4,1152,2,2166.0,12,2,797.0,2,8,1,1,0,1,0,0,46,4,0
1836,533206060,166000,12.01974306733868,4,8,4,0,3523,2,80.0,2,1151,5,3,0,0,1151,3,1201.0,11,3,574.0,2,9,1,1,0,0,1,0,0,4,1
779,905200350,148000,11.904967552746252,2,6,3,0,15312,3,88.0,2,1138,6,2,1,3,1138,2,1726.0,10,2,674.0,2,8,0,1,0,1,0,0,49,4,0
1886,534276180,124000,11.728036844587177,2,5,3,0,7450,2,74.0,2,1074,6,3,1,4,1074,1,1332.0,7,2,468.0,2,7,0,0,1,1,0,1,51,4,0
1724,528186090,277500,12.533576212168626,4,9,3,0,7313,3,60.0,2,1561,6,4,1,4,1561,3,2714.0,12,4,1052.0,2,9,1,1,0,1,0,0,2,4,0
2450,528358030,350000,12.765688433465597,4,8,3,1,10019,2,83.0,2,2726,9,3,1,5,2726,3,1869.0,10,3,1766.0,3,8,1,1,0,1,1,0,11,4,0
1013,527214030,387000,12.86617997201192,4,9,3,0,15401,2,53.0,2,1884,7,4,1,4,1884,3,3221.0,15,4,1256.0,3,9,1,1,0,1,1,0,4,4,0
2084,905476170,86000,11.362102575235644,1,4,3,0,9098,2,58.0,0,605,5,2,0,0,605,2,876.0,10,2,144.0,0,0,0,0,0,0,0,1,5,4,0
1184,533350120,290000,12.577636201962656,4,8,3,0,16280,3,103.0,2,1671,6,4,1,4,1671,4,2470.0,12,4,920.0,2,8,0,1,0,0,1,1,1,4,0
728,902477130,44000,10.691944912900398,1,3,7,0,9392,3,72.0,0,797,5,2,0,0,797,1,245.0,4,2,130.0,0,0,0,0,0,0,0,1,59,4,0
950,914474070,215000,12.2783933071098,2,6,3,1,12209,2,71.0,2,1961,7,3,1,3,1961,4,1494.0,11,2,877.0,2,9,1,0,0,0,1,1,7,4,0
2524,534125210,146500,11.894780707439258,3,5,3,0,13110,2,79.0,2,1193,6,2,0,0,1193,3,2115.0,11,2,938.0,2,9,0,1,0,0,0,0,34,4,0
2513,533223080,165000,12.013700752882718,4,7,4,0,2651,3,60.0,2,1382,6,3,0,0,1382,4,1314.0,11,3,693.0,2,7,1,0,1,0,0,1,6,4,0
2028,903427040,136000,11.820410164718188,1,6,2,0,8520,3,60.0,2,2526,10,3,1,4,2526,2,882.0,7,2,319.0,1,7,0,0,1,0,0,1,57,4,0
2309,526303060,252000,12.43718436649356,2,6,3,0,39384,2,60.0,2,1390,4,4,2,4,1390,3,2815.0,13,2,1641.0,2,7,0,1,0,0,0,0,49,4,0
51,528188120,175500,12.075394321888057,4,7,3,0,2628,3,36.0,2,1626,6,3,0,0,1626,3,764.0,6,3,607.0,2,8,1,0,0,0,1,0,7,4,0
699,902106010,150000,11.918390573078392,1,5,2,0,6406,3,57.0,2,1558,7,2,1,4,1558,2,1111.0,9,2,618.0,2,7,0,0,1,0,0,1,59,3,0
1881,534252110,139900,11.848683160653572,2,5,3,0,12342,2,60.0,2,1422,6,2,1,3,1422,1,978.0,5,2,322.0,1,8,0,1,0,1,0,1,29,4,0
1345,903232090,162900,12.000891794590135,1,5,2,0,6240,3,52.0,1,1573,8,2,1,4,1573,2,1078.0,5,2,360.0,2,7,1,0,1,0,0,1,16,4,0
166,535457010,160000,11.982929094215963,2,6,3,0,10000,2,87.0,2,1116,5,2,0,0,1116,2,1116.0,5,2,1086.0,2,7,0,1,0,1,0,0,48,4,0
781,905228050,63900,11.065074640365626,2,2,3,0,9000,3,60.0,0,660,5,1,0,0,660,1,0.0,0,2,100.0,0,0,0,0,0,0,0,1,59,4,0
379,527354200,184000,12.122691036591124,3,6,3,0,11088,3,80.0,2,1707,7,2,1,3,1707,2,1972.0,9,2,623.0,2,9,1,1,0,0,0,0,11,4,0
2818,908102320,149900,11.917723684090689,1,5,3,0,17755,3,134.0,2,1466,6,1,2,4,1466,2,1642.0,8,2,900.0,2,9,0,1,0,0,0,0,47,4,0
1168,533215020,300000,12.611537753638338,4,9,4,0,4765,2,60.0,2,1638,5,4,1,3,1638,3,2641.0,13,3,1053.0,2,9,1,1,0,1,0,0,8,4,0
1396,905226110,145000,11.884489021402713,3,5,3,0,10532,3,60.0,2,1721,7,2,2,3,1721,3,1976.0,8,2,1035.0,2,7,0,0,0,0,0,0,48,4,0
838,907130100,231500,12.352335152508426,3,6,3,1,15426,2,65.0,2,1764,7,3,0,0,1764,4,1749.0,11,2,845.0,2,8,1,1,0,0,1,1,12,4,0
1492,908127120,108000,11.589886506106357,1,5,3,0,13907,3,63.0,2,996,6,2,1,4,996,2,1286.0,8,2,144.0,0,0,0,0,0,0,0,1,39,4,0
637,535178040,120000,11.695247021764184,2,5,3,0,8750,3,70.0,2,1202,6,2,0,0,1202,2,1637.0,7,2,459.0,1,8,0,1,0,0,0,1,53,4,0
1826,532377140,128500,11.763684183317412,2,5,3,0,9945,2,60.0,2,988,5,2,0,0,988,2,1815.0,7,2,629.0,2,7,0,0,1,1,0,0,46,4,0
173,902106140,115000,11.652687407345388,1,5,2,0,8960,3,56.0,2,1028,5,2,1,4,1028,1,1008.0,5,2,490.0,2,7,0,0,1,0,0,1,60,3,0
715,902301080,110000,11.608235644774552,1,5,2,0,3500,3,50.0,2,1284,5,2,0,0,1284,2,1032.0,6,2,275.0,1,7,0,0,1,0,0,1,59,4,0
1183,533350090,150000,11.918390573078392,4,9,3,1,24572,2,60.0,2,2944,9,3,1,4,2944,4,1404.0,11,3,2140.0,3,8,0,1,0,0,0,0,31,4,0
2433,528235130,178000,12.089538829274222,3,8,3,1,9056,2,74.0,2,1414,6,3,1,4,1414,3,707.0,9,3,538.0,2,9,1,1,0,0,1,1,2,4,0
2866,909282060,199500,12.203569515312056,3,7,3,0,12320,2,70.0,2,1609,8,3,2,4,1609,2,637.0,5,2,683.0,3,7,0,0,0,0,0,1,16,4,0
2311,527105060,183500,12.11996994647676,3,6,3,1,8238,2,60.0,2,1525,6,2,1,3,1525,4,1513.0,10,2,893.0,2,9,1,1,0,0,1,1,8,4,0
1551,910205010,126000,11.744037185933616,1,5,2,0,6000,3,75.0,2,1656,7,2,1,1,1656,2,881.0,9,1,568.0,1,7,0,1,0,1,0,1,41,4,0
1049,527454120,148500,11.908340237224891,2,7,3,0,2529,3,24.0,2,1055,4,2,0,0,1055,2,1433.0,10,2,478.0,2,7,0,1,0,0,0,1,31,4,0
657,535376060,149000,11.911701584927595,1,5,3,1,10800,3,60.0,2,1352,7,3,0,0,1352,3,676.0,5,2,1035.0,2,7,0,0,1,0,1,1,3,4,0
414,527454130,137900,11.834284063781393,2,6,3,0,2349,3,24.0,2,1456,6,2,1,3,1456,3,1244.0,10,2,468.0,2,7,0,1,0,0,0,1,32,4,0
1181,533250160,324000,12.688498794774466,4,8,3,0,10846,2,32.0,2,1719,6,3,2,4,1719,4,3338.0,14,3,625.0,2,9,1,1,0,0,0,1,15,4,0
1514,909100170,98000,11.49272275765271,1,5,3,0,5604,3,67.0,2,864,5,2,0,0,864,2,1332.0,7,2,96.0,0,0,0,0,0,0,0,1,58,3,0
1040,527450110,103400,11.546360241056464,1,6,2,0,1680,3,21.0,2,987,5,2,0,0,987,3,941.0,6,2,675.0,1,7,0,0,1,0,0,0,35,4,0
216,905101100,94000,11.451050061252142,2,5,3,0,6342,3,54.0,0,1020,6,2,0,0,1020,1,780.0,5,2,176.0,0,0,0,0,0,0,1,1,14,4,0
1720,528181060,209500,12.25247901834433,4,8,3,0,4590,3,34.0,2,1554,6,3,1,4,1554,2,1578.0,12,3,964.0,2,8,1,1,0,0,1,0,1,4,0
2331,527210040,545224,13.20895199837856,4,10,3,1,18062,2,60.0,2,3390,10,4,1,5,3390,4,1528.0,10,4,1658.0,3,9,1,0,0,1,0,0,0,4,1
204,903426200,159900,11.982303898822046,1,6,2,0,12900,3,60.0,0,1560,7,3,0,0,1560,2,780.0,5,3,512.0,0,0,1,0,0,0,0,1,1,4,0
19,527276150,141000,11.856515169360303,3,4,3,0,19138,3,140.0,2,864,4,2,0,0,864,1,984.0,6,2,400.0,2,7,0,0,1,0,1,1,59,4,0
2438,528275080,215000,12.2783933071098,3,6,3,1,8658,2,60.0,2,1889,9,2,1,3,1889,3,1714.0,10,2,431.0,2,9,1,1,0,0,1,1,6,4,0
89,532378110,127000,11.751942365440728,2,5,3,0,6897,2,60.0,2,1040,6,2,0,0,1040,3,1699.0,9,2,364.0,1,7,0,0,1,0,0,1,0,4,0
240,905452160,128000,11.759785542901756,1,5,3,0,9525,3,75.0,2,1172,5,2,0,0,1172,2,2126.0,10,2,606.0,1,9,0,1,0,0,0,1,12,4,0
105,533238045,267916,12.498428777526836,4,8,4,0,12853,2,57.0,2,1418,6,3,1,4,1418,3,2674.0,12,3,1428.0,3,8,1,1,0,0,0,1,0,4,1
2020,903233180,127500,11.755871643580615,1,6,2,0,6240,3,52.0,2,1367,6,2,1,4,1367,1,1309.0,6,2,680.0,1,7,0,0,1,0,0,1,57,3,0
888,908128060,198500,12.198544379109382,1,7,3,0,7301,3,64.0,2,1922,7,3,1,5,1922,3,0.0,0,3,1349.0,2,8,0,0,0,0,0,0,6,4,0
1019,527302050,175500,12.075394321888057,3,6,3,0,12090,2,78.0,2,1422,7,3,1,3,1422,2,2010.0,11,2,1062.0,2,9,0,1,0,0,0,0,27,4,0
2132,907192040,217500,12.289954129510877,3,7,3,1,8826,3,60.0,2,1842,7,3,1,3,1842,4,1826.0,11,3,919.0,2,9,1,1,0,0,1,0,7,4,0
203,903426180,149500,11.915051671812876,1,4,2,0,8094,3,57.0,2,1962,9,2,1,3,1962,2,888.0,5,2,1096.0,2,7,0,0,1,0,0,1,60,4,0
420,527455280,148800,11.910358401381128,2,5,3,0,10710,3,60.0,2,1120,5,2,1,3,1120,2,1508.0,8,3,983.0,2,8,1,1,0,1,0,0,5,4,0
2333,527212030,556581,13.229567991666638,4,9,3,1,16056,2,85.0,2,2868,11,4,1,4,2868,4,2232.0,14,3,1246.0,3,9,1,0,0,1,0,0,0,4,1
632,535152230,156500,11.960811288962343,2,6,3,0,8400,3,70.0,2,1478,6,2,2,4,1478,3,1667.0,9,2,772.0,2,8,0,1,0,1,0,1,52,4,0
2800,907285100,237000,12.375815420117268,3,7,3,1,11250,3,90.0,2,1995,8,3,1,3,1995,4,1615.0,13,3,1055.0,2,8,1,1,0,0,1,1,10,4,0
